deal_no,type,forecast_date,amount
KMC25004,Inflow,2024-12-17,2894672.48
KMC25004,Inflow,2025-02-05,11578689.93
KIT25005,Inflow,2024-12-12,1484930.51
KIT25005,Inflow,2025-01-16,8414606.2
BUL25007,Inflow,2024-12-04,3127906.03
BUL25007,Inflow,2025-01-02,17724800.86
DRX25011,Inflow,2025-01-14,10906167.69
DRX25011,Inflow,2025-03-19,25447724.61
KMC25012,Inflow,2025-01-03,806944.03
KMC25012,Inflow,2025-03-09,4572682.81
ZAM25014,Inflow,2025-01-23,7609662.22
ZAM25014,Inflow,2025-02-18,17755878.52
BEI25015,Inflow,2025-01-31,1520008.95
BEI25015,Inflow,2025-02-28,8613384.08
BUL25016,Inflow,2025-01-13,3986923.52
BUL25016,Inflow,2025-03-01,35882311.65
BEI25021,Inflow,2024-12-13,5093764.83
BEI25021,Inflow,2025-02-10,28864667.36
KIT25023,Inflow,2025-01-28,3115149.46
KIT25023,Inflow,2025-03-26,12460597.86
AFR25024,Inflow,2025-01-23,1166878.07
AFR25024,Inflow,2025-03-06,10501902.62
KMC25025,Inflow,2025-01-01,1320192.8
KMC25025,Inflow,2025-02-05,7481092.54
KIT25026,Inflow,2025-02-01,1726989.53
KIT25026,Inflow,2025-02-23,9786274.0
KIT25027,Inflow,2025-01-21,1025940.57
KIT25027,Inflow,2025-03-22,9233465.12
KIT25029,Inflow,2025-01-23,1324665.55
KIT25029,Inflow,2025-02-26,7506438.13
DRX25030,Inflow,2025-01-06,1878077.66
DRX25030,Inflow,2025-02-12,16902698.96
DRX25031,Inflow,2024-12-09,2933302.16
DRX25031,Inflow,2025-01-29,26399719.4
LUB25032,Inflow,2025-01-22,691468.87
LUB25032,Inflow,2025-02-24,2765875.46
KMC25035,Inflow,2025-01-21,4690979.76
KMC25035,Inflow,2025-03-21,18763919.02
DRX25037,Inflow,2025-01-04,2097275.81
DRX25037,Inflow,2025-02-20,8389103.26
DRX25039,Inflow,2025-01-10,5610851.5
DRX25039,Inflow,2025-02-14,22443406.0
KIT25044,Inflow,2025-01-13,2185610.8
KIT25044,Inflow,2025-01-30,12385127.89
DRX25046,Inflow,2024-12-18,1144060.77
DRX25046,Inflow,2025-02-07,4576243.08
KIT25047,Inflow,2025-01-02,355416.38
KIT25047,Inflow,2025-02-24,3198747.38
LUB25048,Inflow,2024-12-28,5197134.25
LUB25048,Inflow,2025-02-05,12126646.57
KIT25049,Inflow,2025-01-11,2387034.12
KIT25049,Inflow,2025-02-16,5569746.28
KMC25050,Inflow,2025-01-22,1819489.18
KMC25050,Inflow,2025-03-11,10310438.67
LUB25053,Inflow,2024-12-04,1347569.68
LUB25053,Inflow,2025-01-12,3144329.26
AFR25060,Inflow,2025-01-12,4477288.49
AFR25060,Inflow,2025-02-24,25371301.47
AFR25064,Inflow,2024-12-23,2557790.19
AFR25064,Inflow,2025-03-04,23020111.68
KMC25065,Inflow,2025-01-06,6552743.33
KMC25065,Inflow,2025-02-16,15289734.44
BUL25066,Inflow,2024-12-24,282044.32
BUL25066,Inflow,2025-01-27,2538398.84
DRX25067,Inflow,2025-01-30,457245.22
DRX25067,Inflow,2025-03-02,4115207.02
KMC25068,Inflow,2024-12-15,1735571.29
KMC25068,Inflow,2025-02-04,6942285.16
AFR25070,Inflow,2025-01-28,2330632.35
AFR25070,Inflow,2025-03-10,9322529.4
KIT25071,Inflow,2024-12-14,1771710.19
KIT25071,Inflow,2025-01-23,15945391.67
DRX25072,Inflow,2024-12-12,365022.13
DRX25072,Inflow,2025-01-15,3285199.16
LUB25073,Inflow,2025-01-04,681241.57
LUB25073,Inflow,2025-01-31,6131174.17
KIT25074,Inflow,2025-01-19,1764776.01
KIT25074,Inflow,2025-02-23,7059104.05
AFR25075,Inflow,2024-12-30,1868801.32
AFR25075,Inflow,2025-01-23,7475205.27
LUB25076,Inflow,2025-01-02,2519385.88
LUB25076,Inflow,2025-02-26,22674472.93
DRX25077,Inflow,2024-12-12,2828587.01
DRX25077,Inflow,2025-01-08,16028659.75
DRX25081,Inflow,2024-12-12,3147993.77
DRX25081,Inflow,2025-02-01,7345318.81
BEI25086,Inflow,2024-12-26,9266573.38
BEI25086,Inflow,2025-02-09,21622004.56
KMC25089,Inflow,2025-02-03,760177.62
KMC25089,Inflow,2025-03-20,6841598.56
AFR25092,Inflow,2024-12-30,912763.32
AFR25092,Inflow,2025-02-10,5172325.46
BUL25093,Inflow,2025-01-08,809141.57
BUL25093,Inflow,2025-02-03,7282274.13
KIT25095,Inflow,2024-12-18,3771456.55
KIT25095,Inflow,2025-01-28,21371587.1
KIT25096,Inflow,2025-01-06,4281550.98
KIT25096,Inflow,2025-02-09,24262122.24
