deal_no,type,forecast_date,year_week,week_start,week_num,forecast_year,weekly_amount
AFR25024,Inflow,2025-01-23,202504,2025-01-20,4,2025,1166878.07
AFR25024,Inflow,2025-03-06,202510,2025-03-03,10,2025,10501902.62
AFR25024,Outflow,2025-01-21,202504,2025-01-20,4,2025,-1702211.78
AFR25024,Outflow,2025-02-05,202506,2025-02-03,6,2025,-6808847.14
AFR25060,Inflow,2025-01-12,202502,2025-01-06,2,2025,4477288.49
AFR25060,Inflow,2025-02-24,202509,2025-02-24,9,2025,25371301.47
AFR25060,Outflow,2025-01-12,202502,2025-01-06,2,2025,-3701253.67
AFR25060,Outflow,2025-01-19,202503,2025-01-13,3,2025,-20973770.78
AFR25064,Inflow,2024-12-23,202452,2024-12-23,52,2024,2557790.19
AFR25064,Inflow,2025-03-04,202510,2025-03-03,10,2025,23020111.68
AFR25064,Outflow,2024-12-18,202451,2024-12-16,51,2024,-1641928.24
AFR25064,Outflow,2025-01-13,202503,2025-01-13,3,2025,-14777354.12
AFR25070,Inflow,2025-01-28,202505,2025-01-27,5,2025,2330632.35
AFR25070,Inflow,2025-03-10,202511,2025-03-10,11,2025,9322529.4
AFR25070,Outflow,2025-01-23,202504,2025-01-20,4,2025,-1696770.95
AFR25070,Outflow,2025-02-10,202507,2025-02-10,7,2025,-6787083.78
AFR25075,Inflow,2024-12-30,202501,2024-12-30,1,2025,1868801.32
AFR25075,Inflow,2025-01-23,202504,2025-01-20,4,2025,7475205.27
AFR25075,Outflow,2025-01-02,202501,2024-12-30,1,2025,-1637720.55
AFR25075,Outflow,2025-01-11,202502,2025-01-06,2,2025,-6550882.19
AFR25092,Inflow,2024-12-30,202501,2024-12-30,1,2025,912763.32
AFR25092,Inflow,2025-02-10,202507,2025-02-10,7,2025,5172325.46
AFR25092,Outflow,2025-01-02,202501,2024-12-30,1,2025,-703921.53
AFR25092,Outflow,2025-01-08,202502,2025-01-06,2,2025,-3988888.64
