deal_no,sales_rep_id,client_id,product_ref,inco_code,status_code,date_created,quote_due_date,quote_submitted_date,date_closed,sales_total,cost_of_sales,gross_profit,finance_cost,profit_after_fc,gross_profit_pct,profit_after_fc_pct
KMC25001,SR004,KMC001,PRD001,DAP,STAGE,2025-01-09,2025-01-13,2025-01-12,,20893010.46,19707936.78,1185073.68,223095.89,961977.79,0.0567,0.046
AFR25002,SR006,AFR001,PRD005,DAP,QUOTE,2025-01-16,2025-01-18,2025-01-17,,25365592.29,24003596.46,1361995.83,452262.57,909733.26,0.0537,0.0359
KMC25003,SR004,KMC001,PRD003,EXW,QUOTE,2024-12-25,2024-12-28,2024-12-29,,13696893.25,11991014.75,1705878.5,208921.66,1496956.84,0.1245,0.1093
KMC25004,SR005,KMC001,PRD006,CIF,WON,2024-12-17,2024-12-20,2024-12-22,2024-12-29,14473362.41,12621358.04,1852004.37,120045.36,1731959.01,0.128,0.1197
KIT25005,SR004,KIT001,PRD006,EXW,WON,2024-12-10,2024-12-13,2024-12-16,2024-12-25,9899536.71,9151683.35,747853.36,108805.88,639047.48,0.0755,0.0646
KMC25006,SR004,KMC001,PRD004,FCA,LOST,2025-01-04,2025-01-08,2025-01-11,2025-01-12,8401540.26,7739474.63,662065.63,136635.65,525429.98,0.0788,0.0625
BUL25007,SR001,BUL001,PRD003,EXW,WON,2024-12-02,2024-12-09,2024-12-10,2024-12-19,20852706.9,15151633.25,5701073.65,299851.56,5401222.09,0.2734,0.259
AFR25008,SR002,AFR001,PRD001,CIF,STAGE,2025-01-31,2025-02-02,2025-02-01,,28907773.03,27303279.56,1604493.47,375529.1,1228964.37,0.0555,0.0425
ZAM25009,SR002,ZAM001,PRD006,EXW,LOST,2024-12-12,2024-12-16,2024-12-19,2024-12-29,7425094.52,6198647.27,1226447.25,118422.58,1108024.67,0.1652,0.1492
DRX25010,SR006,DRX001,PRD003,EXW,LOST,2025-01-12,2025-01-16,2025-01-18,2025-01-27,8504678.28,6089404.71,2415273.57,45206.74,2370066.83,0.284,0.2787
DRX25011,SR005,DRX001,PRD002,FOB,WON,2025-01-11,2025-01-13,2025-01-13,2025-01-15,36353892.3,26091709.73,10262182.57,311555.38,9950627.19,0.2823,0.2737
KMC25012,SR006,KMC001,PRD004,DAP,WON,2024-12-31,2025-01-07,2025-01-06,2025-01-08,5379626.84,4842461.03,537165.81,35715.53,501450.28,0.0999,0.0932
KMC25013,SR001,KMC001,PRD006,FCA,STAGE,2024-12-07,2024-12-10,2024-12-10,,11900929.4,10903186.4,997743.0,220603.28,777139.72,0.0838,0.0653
