id,deal_no,stock_ref,quantity,purchase_price,deposit_pct,deposit_date,balance_pct,balance_date,total_cost
1,KMC25004,STK003,1714.765,5231.86,0.2,2024-12-18,0.8,2024-12-28,8971410.41
2,KIT25005,STK001,1682.337,3800.45,0.15,2024-12-15,0.85,2025-01-05,6393637.65
3,BUL25007,STK005,3928.83,3700.72,0.1,2024-12-02,0.9,2024-12-17,14539499.76
4,DRX25011,STK002,4574.39,6639.03,0.3,2025-01-12,0.7,2025-01-26,30369512.44
5,KMC25012,STK002,772.757,4758.7,0.15,2024-12-31,0.85,2025-01-28,3677318.74
6,ZAM25014,STK005,3634.662,5727.64,0.1,2025-01-26,0.9,2025-02-03,20818035.46
7,BEI25015,STK005,4823.505,1312.17,0.2,2025-01-27,0.8,2025-02-07,6329258.56
8,BUL25016,STK002,4680.582,7495.66,0.1,2025-01-13,0.9,2025-01-29,35084051.27
9,BEI25021,STK005,4545.417,6162.34,0.15,2024-12-11,0.85,2024-12-28,28010405.0
10,KIT25023,STK001,3470.149,2848.41,0.2,2025-01-24,0.8,2025-02-28,9884407.11
11,AFR25024,STK003,4929.061,1726.71,0.2,2025-01-21,0.8,2025-02-05,8511058.92
12,KMC25025,STK002,2994.856,2142.29,0.2,2024-12-31,0.8,2025-01-13,6415850.06
13,KIT25026,STK001,1777.039,4363.24,0.3,2025-02-01,0.7,2025-02-08,7753647.65
14,KIT25027,STK001,1597.93,4925.9,0.1,2025-01-18,0.9,2025-01-29,7871243.39
15,KIT25029,STK002,2680.687,2125.67,0.3,2025-01-24,0.7,2025-02-04,5698255.94
16,DRX25030,STK004,4248.01,3784.59,0.3,2025-01-04,0.7,2025-01-21,16076976.17
17,DRX25031,STK002,3758.816,6711.69,0.15,2024-12-03,0.85,2024-12-23,25228007.76
18,LUB25032,STK001,1635.222,1870.91,0.15,2025-01-19,0.85,2025-02-06,3059353.19
19,KMC25035,STK004,4083.022,3628.58,0.2,2025-01-25,0.8,2025-02-15,14815571.97
20,DRX25037,STK005,2013.785,3140.24,0.15,2024-12-31,0.85,2025-01-15,6323768.21
21,DRX25039,STK003,4984.842,3578.6,0.15,2025-01-07,0.85,2025-01-19,17838755.58
